"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02"
"United States",101600,101900,102000,102100,102300,102400,102600,102500,102300,102500,102900,103200,103700,104100,104400,104700,105100,105500,105900,106200,106600,107300,108000,108500,108500,108200,108600,109600,110400,110800,111100,111500,111900,112600,113300,113900,114400,115000,115800,116200,116600,117000,117500,118000,118600,119400,120300,120900,121400,122000,122700,123100,123600,124200,124800,125300,126100,126900,127600,128100,128600,129200,129900,130400,130900,131300,131900,132700,133500,134000,134500,135200,136000,136500,137100,137700,138500,139200,140100,140900,141800,142600,143200,143900,144800,145800,146400,147100,148100,149100,150100,151200,152200,153100,153800,155100,156500,157800,159100,160500,162000,163400,164800,166200,167500,168800,170500,172200,173700,175200,176800,178500,180100,181700,183300,184700,185800,186800,187700,188700,189500,190500,191400,192100,192600,192800,193000,193000,193100,193400,193600,193700,194000,194100,193700,193000,192500,191700,190500,189400,188200,187200,185900,184100,182200,180700,179200,177600,176000,174600,173200,172000,170800,169600,168400,167200,165900,164400,163000,161900,161200,160700,160300,159900,159800,159600,159400,159000,158500,158000,157700,157100,156200,155500,154800,153800,152800,152000,151200,150500,149800,149200,148600,148000,147500,147100,146800,146500,146200,146100,146300,146300,146600,147100,147700,148200,148600,149000,149300,149800,150500,150900,151300,152100,153000,154000,155300,156700,158100,159300,160400,161300,162100,163000,163700,164800,166300,167500,168000,168300,168600,169000,169500,170400,171000,171600,172400
"New York, NY",171200,171800,172200,172200,172000,171900,171200,169900,168600,168600,169500,170500,170900,171200,171400,171600,171800,172200,172700,173300,174100,175100,176200,177300,178000,178500,179200,179900,180700,181400,182600,184100,185600,186900,188400,189900,191500,193500,195400,197400,199500,201500,203500,206000,209000,211900,214200,216100,218100,220600,223300,225900,228300,230700,233100,235400,237800,240500,243100,245300,247200,249400,251800,254700,257800,261100,264300,267400,270000,272500,275600,279000,282700,286100,289600,293400,297700,301700,305800,309900,314000,318400,323200,327900,331700,335300,338900,342300,345500,348700,351600,354700,357800,360900,363800,366900,370500,374100,377400,380900,385100,389700,394800,399900,404800,409800,415000,420300,425400,430100,435000,439400,442800,445600,448200,450700,452900,454600,455900,457000,458000,458400,458700,458700,458400,457200,455800,454100,452500,450800,449100,447600,446500,445900,444900,443100,441100,439400,437900,436500,434900,433000,430600,427900,424800,421500,418100,415000,412000,408800,405600,402300,399300,397200,395000,392000,389400,387400,385400,383600,382200,381400,381300,381300,381100,381000,381100,381000,380900,380500,380000,379400,378600,377700,376500,375100,373700,372300,370800,369000,366700,364600,362800,361100,359600,358200,356600,355400,354000,352300,350500,349100,347500,346100,345600,345800,346200,346700,346900,347300,347600,347600,347800,348200,349000,350500,352600,354900,357100,359300,361100,362400,364200,367000,368900,370500,373900,377200,378400,379000,379600,380100,380400,381100,381400,381300,381500
"Los Angeles, CA",165600,166200,165600,164800,164300,164400,164400,164500,164800,165500,166100,166900,167500,168000,167900,167500,167400,168000,168800,169800,171100,172800,175200,174800,172200,170700,174100,179400,183200,184200,185800,187400,188800,189900,191200,193100,194900,196600,197800,198700,199600,201000,202500,204500,206900,209500,211800,214400,217000,219400,221000,222000,223400,225400,227000,228800,231000,233500,235900,238400,240800,243100,244700,246300,248300,250600,253200,256000,258500,261700,265300,268700,272600,277200,281600,285900,290600,295700,301000,306500,312000,317200,322200,327600,333000,337600,341800,346800,352600,359000,365900,373100,380700,388700,397100,406300,416900,428400,440500,452000,462000,470200,476900,482200,487100,491800,497200,503600,511000,518700,526500,535300,544500,553200,561000,568000,573700,578100,581600,584300,586300,588100,589500,589500,588500,586900,585100,582800,580500,578800,577400,574700,571500,568000,562800,556500,550500,544700,539000,532600,524800,516300,507500,497100,485000,473100,462500,452300,442300,433500,425900,419600,414700,410700,406700,402900,400000,397200,395200,394800,395200,395800,396500,397700,399000,399800,400500,401900,403000,403000,402000,400600,399000,396900,394700,393000,391500,390100,388500,386400,384100,381700,378900,376100,373900,372300,370800,369400,368200,367400,367100,367900,369300,371500,374000,376700,379200,382000,385500,389200,393600,399000,404600,411000,418400,426200,433900,441500,448400,454700,460000,464300,468000,471300,473900,476700,479700,482200,483800,485100,486600,488000,489400,491400,493500,496100,498700
"Chicago, IL",132700,133100,133300,133300,133300,133100,132700,132800,133300,133900,134400,134600,134300,134200,134400,134600,134700,134900,135400,135600,136100,137000,137800,138200,138600,138900,139400,139800,139900,140100,140500,141000,141900,143300,144100,144400,144800,145200,145600,146100,146700,147300,148100,148700,149700,151300,152400,152900,153700,154500,155100,155500,156300,157300,157900,158200,159500,161400,162900,163600,164400,165400,166300,167100,167700,168400,169200,169700,171100,173000,174300,174600,175100,175500,175900,176500,177100,177600,178500,179100,180900,183400,185400,186000,186900,188000,189200,190300,191300,192100,192600,192900,194700,197400,198900,199200,200100,201000,202000,203200,204500,205600,206900,210000,203900,191500,185800,188600,189800,190700,191300,191900,192700,193400,194100,194500,196200,199000,200600,200900,201300,201600,201800,202000,202300,202600,203000,202800,203600,205500,206700,206500,206300,205900,205400,204900,204400,203500,202600,201900,201900,202200,201800,200600,199400,198400,197600,196300,195000,193700,191900,189700,188200,187500,186600,185100,183400,181900,180600,179400,178600,178100,177600,177000,177100,177700,178000,177300,176500,175800,175200,174200,172700,171200,170000,168400,167100,166500,165100,163000,161400,160000,158400,157400,156400,155400,154500,153600,152700,152100,151600,151100,150900,150800,150700,150400,150500,150400,150200,150400,150900,151000,151300,151700,152100,152900,154200,155300,156200,157200,158200,159500,161200,162600,162800,163500,164700,165200,165100,165200,165300,165300,165700,166000,165700,165500,165600
"Dallas-Fort Worth, TX",,,,,,,,,,,85900,86000,86000,85800,85800,85900,86200,86500,87300,88400,89200,89600,90300,90600,90500,90400,90200,90100,90100,90000,90400,91300,92300,92900,93300,93600,94300,95000,95600,96100,96600,97100,97800,99000,100000,100500,100600,100700,100600,100600,100600,100600,100800,101200,101900,102900,103600,104000,104400,104800,105300,105800,106400,107000,107400,107600,108100,109000,109700,110000,110200,110700,111100,111400,111800,112200,112700,113300,113700,114100,114500,114800,115200,115600,115600,115600,115700,115900,116000,116200,116400,116600,116900,117600,118800,120000,121300,122300,123000,123600,124300,124900,125400,125700,126200,126500,126900,127100,127300,127600,128000,128200,128200,128200,128200,128300,128400,128800,129100,129300,129700,130200,130500,130800,131000,131300,131500,131700,131900,132100,132200,132200,132400,132700,133100,133200,133300,133500,133800,134100,133800,132600,131100,129900,128700,127300,126300,125600,124900,124100,123300,122600,121900,121300,120800,120100,119400,118500,117700,117300,117000,116800,116500,116400,116200,116300,116400,116500,116300,116300,116000,115400,115100,115000,114700,114300,113900,113500,113100,112900,112700,112400,112100,111700,111100,110700,110500,110300,110000,109900,110100,110300,110700,111200,111700,112200,112700,113000,113300,113700,114400,114900,115700,116700,117800,118900,120100,121200,122100,123100,123500,123500,124000,124800,125100,125500,126700,127700,128300,128800,129600,130400,131300,132600,133900,135300,136800
"Philadelphia, PA",90000,90300,90500,90500,90400,90400,90300,90200,90300,90600,90800,90700,90600,90400,90200,90000,89800,89800,90100,90500,90600,90900,91300,91700,92100,92300,92200,92200,92200,92100,92100,92300,92600,93100,93600,94000,94000,94200,94500,94900,95300,95800,96100,96300,96600,97100,97600,97900,98300,98600,98900,99100,99600,100200,100500,101000,101500,102000,102500,103300,103900,104600,105300,105900,106700,107600,108300,109200,110000,110700,111700,112800,113700,114600,115600,116700,117900,119100,120400,121600,122900,124500,125900,127100,128100,129200,130600,132200,133700,135200,136700,138100,139600,141100,142600,144000,145900,148000,150000,152000,154100,156300,158600,161000,163200,165300,167200,169300,171300,173300,175400,177800,179900,181700,183500,185300,186600,187200,187800,188600,189800,190900,191800,192300,192600,192400,192400,192500,192800,193200,193800,194400,195000,195500,195800,195900,195900,195700,195200,194500,193600,192900,192300,191700,191200,190700,189900,189200,188800,188300,187600,187000,186500,186400,186400,186100,185500,184900,184300,183700,183400,183500,183700,183800,184000,183900,183500,182800,182500,182400,182200,181600,180500,179400,178300,177300,176300,175400,174500,173700,172500,170900,169400,168200,167300,166300,165700,165300,165000,164800,164600,164300,163800,163200,162800,162600,162600,162500,162400,162300,162300,162400,162600,162500,162700,163200,163700,164000,164500,165300,165800,166400,166900,167500,167700,168300,169200,169900,170200,170700,171300,171600,171900,172200,172200,172300,172600
"Washington, DC",147000,147300,147700,147600,147400,147300,147100,146900,146800,147100,147500,147600,147500,146300,144200,142900,143000,142900,143100,143400,143900,144500,145000,145400,145700,145800,145900,146200,146200,146400,147000,147700,148300,148800,149600,150400,150800,151300,152200,153100,153900,154400,154800,155500,156500,157800,159200,160400,161300,162600,164200,165500,166600,167700,169300,171100,172900,174900,177200,179400,181600,183800,186300,188800,191200,193700,196100,198500,201000,203400,205900,208500,211500,214700,218000,221300,224800,228200,231500,234600,237700,240700,243800,246600,249400,252000,254700,257700,260900,264600,268600,272600,276500,280800,285500,290800,296600,302900,309400,316400,323700,330900,337900,345100,352400,359600,366500,373200,380700,388300,395500,402000,407800,412200,415500,418000,420000,420900,420800,420000,418900,417100,414500,411500,408300,405200,402500,400200,397700,395500,394100,392800,390900,388600,386000,382800,379400,376000,372500,368400,363900,359100,354100,348900,343200,337400,331600,326400,321700,317600,313500,309000,305400,303200,301400,299100,296700,294700,292900,291100,289900,289300,289400,290200,290700,290600,290500,290700,291300,292200,293100,293800,294200,294300,294200,293900,293600,292900,292300,292200,292200,292000,292200,292600,293300,293900,294600,295400,295900,296200,296600,297500,298900,300600,302500,304400,305800,306800,308100,310100,312200,314200,316100,318400,321400,325000,328900,333100,336800,340400,343100,345400,348100,351100,353400,355000,355400,355100,354900,354700,354500,354600,354800,355200,355700,357200,358800
"Miami-Fort Lauderdale, FL",111800,111900,111800,111800,111800,112100,112300,112400,112600,113200,113900,114300,114300,114100,114100,114300,114800,115000,115000,115100,115400,116000,116600,116800,116900,117300,117600,117800,117900,118200,118600,119100,119500,119800,120000,120300,120700,121200,121700,122100,122600,123000,123500,124000,124600,125500,126600,127400,128000,128900,129800,130300,130900,131700,132500,133500,134500,135500,136600,137900,139200,140600,142000,143500,144900,146500,148000,149500,151300,153400,155500,157500,159400,161000,162800,165000,167400,169600,171900,174300,176500,178300,180100,182300,184500,186300,188300,190500,192700,195200,198200,201200,204200,207400,210700,214400,218600,223600,228700,233900,239100,244200,249100,254100,259300,264500,270300,276900,283800,291100,298400,305700,312800,319100,324800,330100,334400,337700,340400,342500,344000,344600,344300,343500,342600,341600,340500,339000,336900,335000,333100,330500,327500,324100,320200,316200,312100,307700,302800,298100,293000,287300,280800,274000,266900,259900,253100,246400,239500,232300,225500,218900,213100,208600,204400,199600,194800,191200,188600,186200,184600,184100,183500,183000,183000,182700,182000,181500,181300,180800,179900,179100,177800,175800,173800,172400,171200,170300,169300,168600,168000,167600,166700,165700,164900,164700,164800,164800,164600,164900,166100,167700,169200,170500,171600,172400,173700,174900,176000,177100,178600,180200,182100,183800,185800,187800,190100,192800,195600,199000,203000,206900,210000,212700,214600,216400,218600,221000,223400,225800,228000,229800,231300,233000,234900,236300,237300
"Atlanta, GA",96800,96600,96400,96500,96700,96600,96600,96800,97200,97700,98300,98600,98700,99100,99800,100200,100500,101100,101900,102400,102700,103200,103900,104500,104900,105400,106000,106800,107400,107800,108600,109400,110000,110500,111200,112000,112700,113500,114300,115200,116000,116700,117400,118100,118700,119600,120500,121300,122200,123200,123900,124400,124900,125600,126200,127100,127900,128700,129200,129600,130200,130900,131600,132100,132700,133400,133900,134200,134600,134800,135000,135400,135800,136200,136600,137000,137500,138000,138200,138300,138900,139400,139800,140200,140700,141000,141100,141400,141700,141700,141900,142400,142700,142800,143000,143300,143500,143700,144000,144400,144800,145300,145700,146100,146600,147300,147900,148500,148900,149300,149800,150300,150800,151300,151900,152500,153000,153400,154000,154400,154800,155100,155500,155700,155900,156200,156600,156700,156400,155700,155100,154700,154700,154800,154500,154300,154200,154000,153400,152900,152400,151600,150400,149300,148200,146800,145300,143600,141700,139800,137900,135700,133700,132700,131900,130600,129100,127900,126900,126100,125600,125300,124700,124200,124000,123800,123600,123300,122800,122100,121500,120600,119400,118100,117300,116400,115300,114000,112900,111700,110400,109100,107700,106300,105000,104000,103100,102700,102400,102100,101500,100700,100100,99800,99500,99300,99000,98700,98200,97900,98100,98300,98700,99600,100900,102600,104500,106600,108900,111200,113200,115300,117000,118400,119600,120900,122200,123600,124900,126100,127300,128300,129400,130400,131100,131800,132500
"Boston, MA",152500,152700,152900,153200,153500,153700,154000,154400,155100,156100,157300,158400,159200,159800,160600,161400,162000,162700,163700,164900,166300,168100,169700,171000,172200,173600,174700,175800,177000,178400,179700,181000,182400,183900,185500,187200,189000,191000,193300,195900,198400,200700,203100,205800,208400,210700,213300,216200,219200,222700,226400,229900,233400,236700,239700,242600,245600,248700,251900,255000,257800,260400,263000,265700,268400,271400,274600,277300,279400,281500,283900,286300,288700,291300,294200,297300,300500,303900,307200,310400,313800,317300,320100,322300,324300,326100,327900,329700,331500,333300,335200,337500,339900,342000,344500,347400,350600,353600,356300,358900,361400,363400,365400,367400,369700,371900,374100,376300,378200,379800,380600,380800,380900,381300,381200,380300,379100,377800,376500,375200,373900,372100,369600,367400,365200,362800,360400,358600,357100,355800,354900,354500,353900,352900,351600,349900,348100,346400,344800,343300,341900,340400,338300,335300,332100,329600,327900,326600,325400,324100,322500,320400,318300,316600,315400,314000,312800,312400,312500,313100,314000,314800,315600,316600,317400,317600,317500,317500,317600,317600,317500,317000,316000,315200,314600,313900,313100,312200,311200,310300,309700,309000,308000,307000,306400,306000,305600,305300,305300,305300,305500,305900,306600,307400,308500,309500,310500,311500,312600,313800,315200,316600,318300,320600,323100,325400,327900,331100,334200,336600,338300,340100,342500,344600,345900,346900,347900,349200,350500,350900,350700,350900,351800,352800,353500,354800,356700
