RegionName,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02
"New York, NY",168500,169100,169200,168600,168100,167700,166800,165400,164400,164600,165600,166500,166900,167200,167400,167700,168100,168700,169200,169900,170500,171600,173000,174200,174800,175200,175700,176400,177000,177500,178400,179800,181000,182300,183900,185400,186600,188400,190400,192200,194000,195800,197400,199500,202400,205400,207900,209800,211300,213200,215600,218000,220300,223000,225700,228100,229900,232200,235000,237500,239700,242000,244000,246400,249200,252300,255500,258500,261400,262800,263700,266000,270200,274000,277600,281500,285900,289800,293400,297300,301000,304600,308700,313100,316300,319500,323700,327800,330800,333300,336000,338700,343000,348400,352700,355300,358700,362400,365900,369700,374300,378900,383600,388400,392700,397000,401800,407200,412200,416700,420800,424800,428400,432000,435500,438700,441200,443400,445400,447200,448800,450100,450900,451300,451300,451000,450300,449600,448300,446900,446100,445800,445300,445000,443800,441800,439400,437500,436000,434700,432900,430800,428200,425200,421700,418400,415100,412100,409200,405900,402300,398600,395300,393000,391000,388100,385300,382800,380700,379000,377700,376800,376600,376700,376800,376900,376900,376600,376300,376200,376000,375500,374700,373800,372700,371500,370300,369100,367800,366100,364000,362000,360400,359100,357800,356300,354800,353300,351700,350100,348600,347500,346600,346200,346200,346500,347200,347900,348300,348700,349200,349400,349600,350500,351500,352900,354900,357200,359100,361000,363200,365400,367300,369300,370800,372100,375200,378100,378600,378700,379900,380600,381300,382100,382300,382700,383300
"Los Angeles, CA",172700,172800,172700,172500,172300,172200,172500,172900,173400,174200,175200,175700,175900,176100,176400,176800,177300,178000,178900,180100,181600,183500,185300,187200,189000,190400,191800,193400,195300,197400,199400,201500,203200,204800,206700,208500,209900,211200,213100,214800,215900,217000,218500,220300,222400,224900,227600,229900,231900,234200,236200,238000,239900,241900,243800,245700,248000,250500,253100,255700,258000,260100,262200,264400,266800,269200,271600,274100,276900,280200,283600,287000,291100,296000,300600,305500,311100,316900,322400,328200,333800,339300,344500,349700,354600,359100,363500,368500,374600,381100,388300,396200,404500,412600,421300,430900,441700,453600,466200,477700,487200,494900,501400,506800,511800,516700,522200,529000,536800,544400,552200,560800,569800,578300,586000,593200,599200,603900,607300,609900,611500,612800,614000,614200,613000,611700,610500,608200,604800,603000,602300,600100,597300,593800,588900,583400,578000,571800,565700,559300,551600,543300,534700,524600,513100,501900,492100,482800,473900,466100,459300,453400,448900,445300,441400,437700,435000,432300,430500,430200,430700,431400,432000,432800,434200,435100,435800,436700,437200,436900,435000,432200,430200,428100,425700,424100,422900,421100,419000,416500,413700,411100,408500,406000,403600,401800,400400,399400,398300,397600,397200,397800,399400,401500,403900,406900,410100,413600,417200,421400,426600,432500,438400,445100,452900,461500,470400,478400,484900,490500,495600,500200,504400,508000,510800,514500,518300,521000,522300,523300,524300,525700,528200,529400,528900,530400,533700
"Chicago, IL",,,,,,,,,,137200,137400,137600,137700,137500,137400,137500,137800,138100,138400,138900,139600,140200,140600,140900,141000,141400,141800,142200,142500,142900,143500,144100,144600,145200,146000,146700,147300,148100,149000,149600,150200,151100,152300,153300,154300,155600,156800,157900,159000,160000,160800,161700,162400,163300,164300,165400,166800,168200,169200,170200,171400,172700,173700,174400,175500,176700,178100,179400,180800,182200,183600,184900,185900,186400,186800,187800,189100,190300,191500,192900,194300,195700,197200,198900,200500,202400,205300,207900,209400,210600,211200,211800,212600,213600,214700,215700,216800,218100,219300,220600,222300,223400,223700,223800,223900,224300,224500,225000,226400,227800,229100,230400,231800,233000,234500,236000,237300,238700,240000,241100,241900,242300,242800,243100,243200,243300,243800,244300,244500,244400,244300,244600,244300,243700,243000,242300,241400,240500,239900,239200,238200,236800,235100,233100,231400,230200,228300,225800,223600,221800,220200,218800,217400,216200,215000,213700,212100,210300,208500,207200,206300,205800,205400,204800,204100,203700,202800,201500,200400,199500,198500,197300,195800,193900,191700,189600,187700,186000,184800,183900,182300,180100,178000,175900,174000,172400,171000,169800,168600,167400,166400,165500,164900,165000,165100,165000,165000,164900,164500,164300,164500,164800,165100,165600,166300,167300,169100,171100,172800,174400,176200,178000,179500,181000,182300,183500,184800,185700,185800,186000,186500,187000,187600,187900,187800,187300,187100
"Dallas-Fort Worth, TX",100300,100400,100400,100600,100900,101000,101000,98600,95300,94200,95100,95400,95600,95600,95800,96100,96500,96900,97300,97900,98700,99500,100000,100300,100400,100300,100400,100600,100900,101000,101300,101900,102800,103500,103900,104500,105200,106000,106800,107700,108400,109100,109800,111000,112100,112600,113000,113300,113400,113900,114200,114200,114500,115000,115400,116000,116800,117400,117900,118300,118700,119300,119800,120000,120200,120600,121100,121600,122200,122700,122900,123200,123600,123900,124200,124700,125100,125400,125700,126100,126600,127100,127300,127700,128000,128100,128100,128200,128300,128600,128800,128900,129200,129900,131000,132100,133100,134100,135200,136300,137100,137700,138100,138400,138600,139000,139400,139700,140200,140600,140800,140800,140800,141000,141300,141600,142100,142400,142900,143100,143300,143600,144000,144300,144700,145000,145200,145600,145900,146000,146200,146400,146600,146800,147000,147400,147700,148200,148500,148800,148600,147600,146200,144800,143700,142700,141700,140800,140000,139200,138400,137700,137100,136700,136100,135500,134700,133900,133100,132900,132900,132900,132900,132800,132300,132300,132600,132700,132400,132100,132100,131700,131200,130700,130200,129700,129400,129000,128800,128700,128700,128700,128400,127900,127500,127200,126800,126700,126800,126600,126800,127000,127400,128000,128600,128800,129000,129300,129700,130300,130900,131500,132200,133300,134600,135800,137000,138200,139200,140100,140700,140700,141100,141800,142300,142900,144200,145600,146600,147300,148000,148700,149700,151300,152600,154200,155700
"Philadelphia, PA",107000,107200,107500,107600,107500,107400,107300,107200,107100,107200,107500,107700,107500,107400,107100,107100,107100,107000,107000,107100,107400,108100,108800,109200,109500,109700,109700,109600,109700,109800,110100,110500,111000,111500,112200,112800,113100,113500,114000,114400,114700,115300,115900,116200,116300,116700,117400,118000,118600,119100,119500,120000,120700,121400,122000,122800,123600,124200,124700,125400,126300,127200,128000,128900,129900,130600,131400,132300,133400,134500,135700,136800,137900,139100,140400,141800,143200,144800,146300,147900,149800,151400,152900,154500,156100,157600,159300,161100,162800,164500,166500,168400,170000,171600,173300,175000,176800,179000,181200,183700,186200,188700,191100,193400,195900,198500,200800,203100,205500,207800,210300,213000,215400,217600,219700,221800,223600,224900,226100,227200,228500,229400,230200,230700,231000,231100,231200,231100,230700,230700,231100,231400,231600,231700,231500,231100,230700,230300,229600,228800,228000,227200,226200,225100,224400,223500,222700,222000,221200,220200,219300,218300,217400,217000,216800,216300,215500,214600,213900,213100,212700,212700,212900,213100,213100,213000,212700,212300,212100,212000,211400,210400,209100,207900,206700,205600,204600,203700,202700,201500,200300,198900,197600,196600,195600,194600,193500,192700,192200,191900,191600,191100,190300,189600,189200,188800,188600,188700,188600,188700,188900,189100,189000,189100,189400,189900,190600,191400,192100,192600,193300,194000,194800,195500,196100,196800,198100,199200,200000,200800,201600,202000,202200,202600,202700,202700,202800
"Washington, DC",157300,157400,157400,157200,156800,156500,156400,156300,156300,156700,157100,157300,157200,155900,154000,153000,152900,153100,153300,153600,154000,154900,155700,156200,156400,156700,156900,157200,157300,157500,158000,158500,158900,159500,160500,161300,161700,162300,163400,164600,165600,166400,167000,167800,169000,170300,171500,172400,173300,174800,176400,177700,178700,179900,181400,183100,185000,187000,189100,191400,193600,195700,198100,200700,203100,205500,207900,210000,212100,214600,217300,220000,223000,226300,229600,232700,236100,239600,243100,246700,250300,253600,256800,259800,262600,265300,268400,271600,274900,278300,282000,286000,290100,294500,299400,304700,310700,316800,323000,329800,337100,344300,351300,358000,364700,371100,377100,383400,390400,397200,403900,410200,415600,419900,423400,426700,429100,430700,431400,431600,431400,430900,429400,427300,425000,422800,420600,418600,416600,415100,414300,413500,412100,410300,407700,404500,401100,397700,394100,390300,386000,381200,375700,369900,364200,358800,353600,348800,344600,340800,337100,332800,329100,326900,325200,323100,321100,319000,317000,315500,314400,313900,314100,314600,315000,314900,314700,314500,314400,314500,314700,314500,314000,313300,312300,311400,310700,309900,309100,308600,307800,306600,306000,306000,306100,306200,306200,306500,306800,306800,306900,307500,308300,309400,310600,311900,313200,314000,314800,316000,317300,318700,320400,322200,324500,327400,330700,334000,337000,340200,343300,345800,348400,351200,352900,353900,355300,357000,358100,358600,359000,359300,359700,360400,361200,362000,362800
"Miami-Fort Lauderdale, FL",95300,95300,95300,95200,95100,95200,95200,95300,95800,96300,96600,97000,97400,97600,97700,98000,98700,99000,99000,99000,99200,99700,100300,100600,100900,101300,101400,101400,101600,101900,102100,102600,103100,103500,104100,104800,105100,105500,106100,106700,107000,107400,107900,108500,109200,110000,110700,111500,112200,113200,114300,115400,116100,116800,117600,118500,119400,120400,121600,122800,124100,125500,127000,128400,129700,131200,133100,134700,136300,138100,139800,141200,142600,143900,145400,147200,149300,151500,153600,155600,157600,159500,161300,163300,165300,167200,169100,170900,172900,175000,177300,179500,181900,184700,187800,191100,194700,198900,203200,207500,212300,217200,222100,227200,232500,237900,243700,249900,256600,263300,270100,277200,283700,289400,294500,299100,302500,304800,307000,309300,311200,312200,312300,311900,311000,310000,308900,307800,306100,304600,302800,300500,297600,294100,290200,286300,282400,278200,273700,269500,264900,259400,253000,246400,239900,233700,227600,221800,215900,209700,203200,196900,191600,187800,183900,179200,174800,171100,168300,165900,164100,162900,162100,161400,161200,161000,160500,159600,159000,158800,158100,157000,155600,154000,152500,151500,150500,149500,148500,147900,147400,146600,145800,145000,144300,144400,144600,144700,144800,145100,146100,147700,149200,150400,151500,152600,154100,155500,156800,158100,159300,160400,162000,163900,165700,167400,169600,172300,174400,176900,180100,182900,185200,187900,190200,192200,194600,197200,199400,201300,203100,204700,206400,208300,210100,211400,212500
"Atlanta, GA",108400,108600,108500,108500,108400,108400,108600,108900,109200,109500,109900,110200,110500,111000,111600,112200,112800,113500,114000,114500,115000,115600,116500,117300,117800,118200,118800,119400,120100,120800,121500,122200,123000,124000,124800,125500,126200,127000,128100,129100,129900,130600,131400,132400,133100,133900,134900,135900,136700,137600,138400,139200,139900,140400,141100,141900,142500,143000,143800,144500,145100,145500,146200,146800,147300,147900,148400,148700,149100,149800,150200,150500,151000,151600,151900,152400,152900,153200,153500,153900,154200,154600,155000,155300,155600,156000,156200,156300,156500,156900,157400,157900,158400,158700,159200,159500,159800,160000,160400,160800,161200,161700,162200,162600,163100,163800,164400,164900,165400,166000,166500,166900,167600,168300,169000,169700,170500,171000,171500,172000,172400,172900,173400,173900,174300,174500,174600,174700,174800,174100,173200,172900,173200,173300,173100,172900,172900,172800,172400,171900,171100,170300,169400,168400,167100,165600,164100,162700,160700,158500,156400,153800,151700,150800,150300,149200,147800,146600,145800,145100,144500,144000,143800,143700,143600,143700,143700,143400,142900,142300,141500,140400,139300,138300,137300,136300,135200,133800,132500,131300,129900,128500,127200,126100,124900,123900,123000,122400,122100,121800,121000,120500,120400,120400,120300,120200,120500,120500,120600,120800,121300,121700,122400,123000,123600,124700,126300,128300,130400,132300,134400,136700,138500,139800,140800,142100,144100,146000,147600,148800,150000,151200,152400,153400,153900,154400,154900
"Boston, MA",152600,152700,152800,152900,153000,153200,153400,153900,154600,155600,156800,157800,158600,159300,160100,160900,161700,162600,163600,164900,166400,168100,169800,171300,172700,174100,175300,176400,177700,179200,180700,182000,183400,184900,186500,188300,190300,192500,194800,197500,200100,202600,205100,207900,210400,212900,215700,218700,221600,224800,228600,232400,236000,239200,242100,245000,248200,251700,254900,257900,260900,263800,266600,269500,272300,275500,278700,281300,283100,285000,287400,289900,292200,294900,297800,300800,304000,307300,310600,313900,317400,320800,323500,325600,327400,329100,331000,332800,334300,335800,337600,340000,342400,344600,347200,350300,353500,356400,359100,361400,363900,366300,368500,370700,372800,375000,377200,379300,381300,383000,383800,384100,384400,384600,384500,383700,382700,381500,380300,379200,378200,376200,373500,371200,369000,366400,364000,362400,361000,359800,359100,358900,358400,357400,356000,354300,352700,351200,349700,348200,346700,345100,342900,339800,336700,334400,332800,331600,330300,328900,327300,325300,323300,321600,320100,318500,317600,317600,317900,318600,319600,320600,321400,322200,323000,323300,323200,323000,323000,322900,322800,322400,321700,321000,320400,319700,318800,317800,317000,316500,315800,314900,314000,313300,312700,312000,311500,311400,311400,311700,312100,312900,313900,315000,316000,317300,318600,319700,320600,321900,323500,325000,326600,329000,331600,334000,336600,339700,342600,345100,347400,349600,352000,354000,355400,356300,357500,359300,360800,361100,361100,361600,362800,363900,364600,366400,369100
"San Francisco, CA",226200,227100,227100,226200,225900,226100,226300,226600,227500,229100,230700,232100,233600,235300,236800,238300,240100,242100,244600,247300,250200,253600,257000,260100,259800,257400,259800,266300,270300,272200,274800,277400,280300,283200,285400,287000,289700,294300,299100,303900,309300,315200,321400,327900,334100,341000,348900,356600,365000,374200,382300,388400,394500,400500,406300,412300,417900,422400,426700,430500,432800,433100,431700,430000,429100,429100,428900,428600,428400,428900,430400,433100,437000,443000,449600,456000,461700,466100,469200,471700,473700,475600,477800,480000,482200,484600,486900,489400,493500,498900,505100,512000,519900,527800,535400,543400,552400,561300,569500,578000,586300,594800,604200,614400,625100,636300,647300,657900,667300,675300,682700,689300,695000,699700,703000,705200,706900,707800,707400,705800,704000,702200,700100,697400,695100,693000,691300,689200,686300,684500,684500,685300,685400,684800,683300,681400,678900,675400,670000,663300,655100,646000,636700,627600,618900,610100,600600,590800,580500,570600,562200,554000,547400,543000,538900,533300,527800,523500,520900,519700,519800,520400,521500,523500,525900,527300,527900,527800,526800,525300,523700,522100,520100,517600,515300,513300,511200,508400,504600,499900,495300,491100,487500,484900,483500,482600,481800,481500,481300,480600,481200,483700,487300,491800,497500,503500,509600,516300,523600,530700,537600,544900,554300,566100,579400,593300,607100,619200,629100,637700,644500,649300,653500,657700,660700,664500,670500,675900,679200,681600,684300,687100,690400,695800,702100,709100,715800
