RegionName,longitude,latitude
"New York, NY",40.7305993,-73.9865813
"Los Angeles, CA",34.0502836,-118.2420861
"Chicago, IL",41.8756208,-87.6243706
"Dallas-Fort Worth, TX",32.7801052,-96.8000082
"Philadelphia, PA",39.952335,-75.163789
"Washington, DC",38.8951148,-77.0363716
"Miami-Fort Lauderdale, FL",25.7742658,-80.1936589
"Atlanta, GA",33.7490987,-84.3901849
"Boston, MA",42.3604823,-71.0595678
"San Francisco, CA",37.7789601,-122.419199
"Detroit, MI",42.3316454,-83.0466755
"Riverside, CA",33.9533546,-117.3961623
"Phoenix, AZ",33.4483772,-112.0740374
"Seattle, WA",47.5992959,-122.3288811
"Minneapolis-St Paul, MN",44.9772995,-93.2654692
"San Diego, CA",32.7469748,-117.2118132
"St. Louis, MO",38.6264972,-90.1993244
"Tampa, FL",27.9475216,-82.4584279
"Baltimore, MD",39.2810502,-76.567903
"Denver, CO",39.7391536,-104.9847034
"Pittsburgh, PA",40.4416941,-79.9900861
"Portland, OR",43.6610277,-70.2548596
"Sacramento, CA",38.5815719,-121.4943996
"Orlando, FL",28.5421175,-81.3790462
"Cincinnati, OH",39.1014564,-84.5138592
"Cleveland, OH",41.4877262,-81.677522
"Las Vegas, NV",36.145204,-115.1611806
"San Jose, CA",37.333333,-121.9
"Columbus, OH",39.9622601,-83.0007065
"Charlotte, NC",35.2270869,-80.8431268
"Indianapolis, IN",39.7683795,-86.1580447
"Virginia Beach, VA",36.8531789,-75.9782428
"Providence, RI",41.8239891,-71.4128343
"Nashville, TN",36.1949274,-86.7417714
"Milwaukee, WI",43.0349931,-87.922497
"Jacksonville, FL",39.7339361,-90.2290099
"Memphis, TN",35.1495343,-90.0489801
"Louisville-Jefferson County, KY",38.2542386,-85.7594075
"Richmond, VA",37.541239,-77.4420183
"Oklahoma City, OK",35.4896803,-97.5320836
"Hartford, CT",41.7641463,-72.6822578
"New Orleans, LA",29.9499323,-90.0701156
"Buffalo, NY",42.8864468,-78.8783689
"Raleigh, NC",35.772096,-78.6386145
"Birmingham, AL",33.5206824,-86.8024326
"Salt Lake City, UT",40.7606467,-111.89109
"Rochester, NY",44.0073325,-92.4691187
"Tucson, AZ",32.2217429,-110.926479
"Honolulu, HI",21.304547,-157.8556764
"Tulsa, OK",36.1545486,-95.9906783
