States,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AL,23407,31129,32128,33237,33548,33656,34515,35327,37093,37825,37870,37509,37098,35530,36156,36463,37186,37389
AK,44812,63521,60156,59319,57859,60002,60578,59585,61107,61867,65058,67743,67300,71476,68656,70594,72281,70113
AZ,26351,34497,36292,38402,39254,39072,39308,40711,41093,42848,44001,44230,42167,38361,38222,38882,39529,39526
AR,22684,30524,30748,32152,32171,31955,32578,33828,35305,36839,37666,37489,37833,36537,37658,38056,38336,39111
CA,30554,41500,43430,46068,48896,48035,48538,49885,51453,53148,54508,54989,54301,51578,51546,51935,52835,53497
CO,31415,44179,46279,48345,50658,50289,49677,49715,50103,51751,51680,51815,51685,49913,49923,50010,50812,51956
CT,39534,55402,56649,57786,60887,60883,60334,60988,64596,65818,67959,69946,68167,64575,64766,63990,64565,65070
DE,41166,58875,60756,63786,65244,64182,62024,62993,65541,65792,66578,65560,61135,62901,62994,62534,62294,62683
DC,86013,132373,135088,140579,140986,147083,151922,156908,162989,166179,168451,174240,177934,172108,172577,172021,167618,163145
FL,25371,36127,36762,37731,38555,38841,39470,40342,41580,43319,44054,43748,41510,38691,38258,37636,38011,38384
GA,29770,40586,43120,45073,45711,45405,44919,45086,45427,46381,46015,45665,43912,41997,41894,41866,42029,42494
HI,32509,44438,42642,43459,44207,43578,44375,45955,48017,49749,50288,50917,50607,48328,48694,49096,49432,49934
ID,24044,29160,29725,32077,35158,33758,34061,34544,35402,36580,37409,37484,36718,34780,34825,34589,34337,35375
IL,32202,45400,46874,48132,49534,49232,49101,49661,50654,51439,52754,52900,51380,49776,50296,51023,51697,52119
IN,27094,37614,39459,40484,41458,40376,41172,42443,43546,43207,43561,44363,43703,40628,43207,43149,44095,44775
IA,27373,37468,37377,38063,39904,39219,40290,41944,44817,45853,46090,47380,45788,45010,46052,46591,47601,48703
KS,26911,38106,38483,39349,40160,40215,40590,41388,41374,42332,43474,44801,44721,42634,43556,45026,44952,45665
KY,24947,35597,36135,37119,35826,35897,36510,37014,37574,38365,39044,38260,37928,36170,37746,38170,38358,38830
LA,27618,40827,41732,42379,40899,41618,42016,43582,44889,47000,49126,46628,46126,46722,48594,46932,47634,47997
ME,23719,33195,33379,34663,36015,36335,37327,38037,39137,38924,39183,38919,38656,37845,38374,37941,38149,38517
MD,28930,42437,43540,44918,45906,47143,48186,48985,50822,52245,52952,53551,53735,53123,54080,54497,54751,54351
MA,34678,47395,49066,51302,55050,55313,55171,56489,57959,58884,59721,61051,60683,58787,60354,61288,62313,62866
